trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount
2017-10-31,300467.SZ,47.0,52.52,45.21,50.73,51.23,-0.5,-0.98,512532.08999999997,2495783.494
2017-11-30,300467.SZ,50.98,59.0,45.89,46.0,48.18,-2.18,-4.52,572572.82,3029833.423
2017-12-31,300467.SZ,46.22,50.76,43.58,46.95,48.47,-1.52,-3.14,293025.01,1385393.593
2018-01-31,300467.SZ,47.44,48.1,44.08,45.0,45.26,-0.26,-0.57,254252.78,1172386.392
2018-02-28,300467.SZ,45.35,45.35,31.29,40.7,38.41,2.29,5.96,279103.73,1036358.596
2018-03-31,300467.SZ,40.13,45.39,37.1,41.79,39.11,2.68,6.85,431530.16,1783057.089
2018-04-30,300467.SZ,41.77,45.27,36.53,39.2,38.79,0.41,1.06,324256.72000000003,1314990.999
2018-05-31,300467.SZ,39.19,42.8,35.87,37.16,36.28,0.88,2.43,305040.31,1210822.038
2018-06-30,300467.SZ,37.15,37.5,30.06,32.1,30.66,1.44,4.7,241492.43,814416.268
2018-07-31,300467.SZ,32.1,36.49,30.3,31.86,31.95,-0.09,-0.2817,482583.66,1587947.204
2018-08-31,300467.SZ,31.89,32.65,25.55,28.73,31.92,-3.19,-9.9937,728987.36,2157251.172
2018-09-30,300467.SZ,27.81,27.9,22.82,24.4,22.9,1.5,6.5502,596884.81,1503958.05
2018-10-31,300467.SZ,23.98,24.45,20.01,22.18,22.03,0.15,0.6809,390004.05,860293.215
2018-11-30,300467.SZ,22.29,28.8,22.2,27.57,26.98,0.59,2.1868,1113429.53,2892375.227
2018-12-31,300467.SZ,28.41,28.49,22.5,22.93,23.1,-0.17,-0.7359,397744.6,1001447.235
2019-01-31,300467.SZ,22.93,23.72,18.88,19.7,19.39,0.31,1.5988,575697.42,1287800.469
2019-02-28,300467.SZ,19.86,25.6,19.71,24.51,24.68,-0.17,-0.6888,972643.98,2238855.001
2019-03-31,300467.SZ,24.48,34.9,24.13,27.7,26.8,0.9,3.3582,1870638.72,5314089.84
2019-04-30,300467.SZ,27.7,30.88,21.15,21.7,21.59,0.11,0.5095,1397781.42,3740853.912
2019-05-31,300467.SZ,21.0,21.98,19.26,19.4,19.72,-0.32,-1.6227,825613.11,1707373.574
2019-06-30,300467.SZ,19.42,21.34,16.15,18.42,18.8,-0.38,-2.0213,1146264.99,2103663.332
2019-07-31,300467.SZ,18.75,19.27,16.78,17.29,17.81,-0.52,-2.9197,660454.52,1177970.081
2019-08-31,300467.SZ,17.3,18.08,14.8,15.78,16.61,-0.83,-4.997,1345590.83,2171532.8
2019-09-30,300467.SZ,15.74,17.97,15.41,15.87,15.85,0.02,0.1262,1469300.98,2508468.595
2019-10-31,300467.SZ,15.64,17.64,15.23,16.14,16.94,-0.8,-4.7226,915739.4,1513375.096
2019-11-30,300467.SZ,16.01,17.75,14.84,15.46,15.38,0.08,0.5202,977618.91,1582466.102
2019-12-31,300467.SZ,15.46,24.92,15.22,19.3,19.44,-0.14,-0.7202,2752001.55,5498947.1049999995
2020-01-31,300467.SZ,19.3,22.52,17.54,17.57,19.49,-1.92,-9.8512,2260637.28,4642742.4
2020-02-29,300467.SZ,15.88,22.86,15.81,18.68,20.18,-1.5,-7.4331,2730158.1,5209340.613
2020-03-31,300467.SZ,18.89,19.99,16.01,16.6,16.61,-0.01,-0.0602,1242968.26,2237243.376
2020-04-30,300467.SZ,16.54,17.42,13.66,14.91,14.34,0.57,3.9749,561604.63,897134.809
2020-05-31,300467.SZ,14.2,15.45,13.55,14.07,13.8,0.27,1.9565,416917.65,611976.366
2020-06-30,300467.SZ,14.19,18.5,14.13,17.42,17.0,0.42,2.4706,1682867.3499999999,2760441.648
2020-07-31,300467.SZ,17.21,19.39,15.47,16.53,16.29,0.24,1.4733,1583105.92,2808573.735
2020-08-31,300467.SZ,16.81,18.56,16.48,18.18,18.32,-0.14,-0.7642,1244773.58,2207076.56
2020-09-30,300467.SZ,18.02,23.54,16.72,17.13,17.41,-0.28,-1.6083,2128242.84,4186667.753
2020-10-31,300467.SZ,17.41,20.61,17.25,18.97,19.75,-0.78,-3.9494,1009229.5,1921236.146
2020-11-30,300467.SZ,19.0,20.94,16.06,16.31,16.48,-0.17,-1.0316,1164077.04,2170595.483
2020-12-31,300467.SZ,16.39,17.04,13.21,13.79,13.51,0.28,2.0725,774909.1799999999,1171891.238
2021-01-31,300467.SZ,13.79,14.5,11.15,13.44,13.55,-0.11,-0.8118,934167.77,1176854.097
2021-02-28,300467.SZ,13.22,13.94,11.26,12.78,12.93,-0.15,-1.1601,705531.56,905908.6950000001
2021-03-31,300467.SZ,12.9,13.46,11.46,11.68,11.56,0.12,1.0381,644206.43,795064.009
2021-04-30,300467.SZ,11.65,12.75,11.32,11.67,12.12,-0.45,-3.7129,571085.9400000001,691916.356
